roll,value
1,2
2,3
3,3
4,1
5,2
6,3
7,4
8,3
9,3
10,3
11,3
12,3
13,3
14,4
15,1
16,1
17,1
18,2
19,4
20,1
21,1
22,2
23,3
24,2
25,4
